target,feature,reference_value,counterfactual_mean_absolute_log_disagreement,absolute_disagreement_reduction,fraction_of_baseline_abs_disagreement_reduced,weighted_sign_flip_rate,interpretation
pure_premium,power_to_weight_ratio,12.0,0.30634306674100065,0.010733845828908795,0.03385249888398035,0.16819804357480836,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,vehicle_value,24596.775,0.306558148678262,0.010518763891647465,0.03317417154845128,0.12039359613666271,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,circulation_area,U,0.3079473156148331,0.009129596955076369,0.02879300445144667,0.06307689466639094,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,payment_frequency,A,0.31003323349465006,0.007043679075259379,0.022214418004043047,0.049571596601442135,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,fuel_type,D,0.3118146335299008,0.005262279040008644,0.016596222655752054,0.04339050559115756,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,policy_type,CC,0.31245486707632025,0.004622045493589189,0.014577048376456975,0.10161189966980914,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,seats,5.0,0.3132201578940259,0.0038567546758835336,0.012163467357571145,0.012728044977191617,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,municipality_type,I,0.313471012277105,0.0036059002928044426,0.011372320562789036,0.030667031615422998,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,bonus_score,G,0.31563775556004114,0.001439157009868297,0.004538826236839272,0.005566565574398442,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,vehicle_brand,RENAULT,0.34666176786486647,-0.029584855294957024,-0.09330498097503118,0.25547583119547596,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,age_driving_licence,21.0,0.3767966803909929,-0.05971976782108346,-0.18834473736058088,0.12072929048366862,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,driver_age,47.0,0.3924148787091649,-0.07533796613925547,-0.23760155076773332,0.3644289420453696,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
pure_premium,vehicle_age,23.0,0.4550526372079819,-0.13797572463807245,-0.4351490732005012,0.21272124332702352,Positive reduction means one-factor substitution to the 2022 training reference makes GLM and XGBoost scores more similar on this diagnostic sample. Effects are non-additive and non-causal.
